Darija (Arabic),Darija (Arabizi),English
ڭاليك عزيز عليك تفرج فل افلام,galik 3ziz 3lik tfrj fl aflam,They say you love watching movies.
واش ل بانكا بعيدا؟,wash l banka b3ida?,Is the bank far?
واش ل بانكا بعيدا؟,wach l banka b3ida?,Is the bank far?
اشنو كايديرو ناس عاداتان ف صيف ف رباط؟,ashno kaydiru nas 3adatan f sif f rbat?,What do people usually do in the summer in Rabat?
اشنو كايديرو ناس عاداتان ف صيف ف رباط؟,achno kaydiru nas 3adatan f sif f rbat?,What do people usually do in the summer in Rabat?
اشمن نوع تلموسيقا كايعجبك؟,ashmen no3 talmousi9a kay3jbk?,What type of music do you like?
اشمن نوع تلموسيقا كايعجبك؟,achmen no3 talmousi9a kay3jbk?,What type of music do you like?
اشمن نوع تلموسيقا كايعجبك؟,achmen no3 talmousiqa kay3jbk?,What type of music do you like?
اشمن نوع تلموسيقا كايعجبك؟,ashmen no3 talmousiqa kay3jbk?,What type of music do you like?
اشناهيا لماكلا لموفضالا عندك؟,ashnahiya lmakla lmofaddala 3ndk?,What is your favorite food?
اشناهيا لماكلا لموفضالا عندك؟,achnahiya lmakla lmofaddala 3ndk?,What is your favorite food?
امتا غايبدا لفيلم؟,emta ghaybda lfilm?,When will the movie start?
شكون كان ل وستاد ديالك؟,shkon kan l oustad dialek?,Who was your teacher?
شكون كان ل وستاد ديالك؟,chkon kan l oustad dialek?,Who was your teacher?
بغيتي تضرب شي عشا معايا؟,bghiti tdreb chi 3cha m3aya?,Do you want to have dinner with me?
بغيتي تضرب شي عشا معايا؟,bghiti tdreb shi 3sha m3aya?,Do you want to have dinner with me?
واخا نخدم تيليفونك؟,wa5a nkhddem téléphonek?,Can I use your phone?
واخا نخدم تيليفونك؟,wa5a n5ddem téléphonek?,Can I use your phone?
واخا نخدم تيليفونك؟,wakha nkhddem téléphonek?,Can I use your phone?
عندك نمرا ديال شي تاكزي؟,3ndk nmra dial chi taxi?,Do you have the number of a taxi?
عندك نمرا ديال شي تاكزي؟,3ndk nmra dial shi taxi?,Do you have the number of a taxi?
واش كاتعرفها؟,wash kat3rfha?,Do you know her?
واش كاتعرفها؟,wach kat3rfha?,Do you know her?
واش كاتعرف فين كاينا؟,wash kat3rf fin kayna?,Do you know where it is?
واش كاتعرف فين كاينا؟,wach kat3rf fin kayna?,Do you know where it is?
واش كاتلعب ل باسكت؟,wash katl3b l basket?,Do you play basketball?
واش كاتلعب ل باسكت؟,wach katl3b l basket?,Do you play basketball?
عمرها، لايخليك.,"3omrha, laykhallik.",Never. Don't let it.
عمرها، لايخليك.,"3omrha, lay5allik.",Never. Don't let it.
خاصو شي حوايج جداد,khasso chi 7wayej jdad,He needs some new clothes.
خاصو شي حوايج جداد,5asso chi 7wayej jdad,He needs some new clothes.
