Darija (Arabic),English
تمناه اي بنت ... الطولة والتجريدة والزين اسم على مسمى .. وحتى شوفاتو قتالة وصدر,"What any girl wishes for... tall, well-built, beautiful, a name that matches the description... even their looks are captivating and striking."
يحتاويني كاملة .. يالاه بغا يهضر وهوا يصوني ليه التيليفون .. طل عليه وعبس وقطع,"He was about to talk when his phone rang... he looked at it, frowned, and hung up."
ورجع حطو وعاود شاف فيا .. عاوتاني بغا يهضر وهوا يصوني ليه التيليفون وقطع وساط,"He put it back and looked at me again... He wanted to speak again, but his phone rang and interrupted him."
بحال الى معجبوش الحال علاش يصوني ليه . بقيت غير كنشوف فيه وحاسة ان مرتو,"As if he doesn't like it, why would he call him? I just kept looking at him and feeling that it's his wife."
اللي كتعيط ليه وماباغيش يجاوبها . حط التيليفون جنب وقالي بهدوء زين الدين : منين,"The one she's calling, and he doesn't want to answer her. He put the phone aside and calmly said, Zinedine: ""From where?"""
جبت نمرتك؟ ... ماعارفاش امدموزيل صوفيا ان اللي كيبغي شي حاجة كيوصل ليها ؟ طلعت,"Did you get your number? ... Don’t you know, Mademoiselle Sofia, that whoever wants something achieves it? You’ve risen."
حاجبي وقلت ليه : وشنو هاد الحاجة اللي باغي توصل ليها ولقيتيها عندي انا بالضبط,"My eyebrows raised, and I said to him: ""And what is this thing you're trying to achieve that you found specifically with me?"""
؟ ! زين الدين : ماشي غير حاجة وحدة ( سكت كيشوف فيا وكمل ),"Zinedine: It's not just one thing. (He paused, looked at me, and continued.)"
حاجاااات هما ... قاطعو التيليفون مرة اخرى بالصونيط ديالو وانا نقوليه صوفيا : جاوب ..,"Things are... He rang the phone again with his ringtone, and I told him, ""Sofia: Answer."""
يقدر شي حد بغاك فشي حاجة ضارورية ناض طالع ليه الدم هز التيليفون وقالي ليا,"Someone might need you for something urgent, got really angry, picked up the phone, and told me."
زين الدين : سمحي ليا واحد الدقيقة انا راجع مشا وربعت يديوطالع ليا الدم ..,"Zinedine: Excuse me for a minute, I'll be back. He left and made things worse, I'm getting really angry."
حتسة براسي باغا نبكي .. ساهيا كنخمم حتى وقف عليا واحد شاد واحد الطرف دالورقة,I feel like crying... lost in thought until someone stood in front of me holding a piece of paper.
فيدو فيه نمرة مكتوبة وحطو قدامي غمزني ودار يدو على ودنو بمعنى نعيط ليه ..,"A video with a number written on it, he put it in front of me, winked, and gestured to his ear, meaning ""call him."""
خزرت فيه يالاه بغيت نجاوبو حتى كنلقا زين الدين واقف موراه .. ووبرودة مد يدو,"I glanced at him, just as I was about to respond, when I saw Zinedine standing behind him... coldly extending his hand."
على الطبلة هز الورقة شافها .. الولد شاف يد مزغبة فيها ساعة تمدات حدا جنب,"On the table, he picked up the paper and looked at it... The boy saw a hairy hand with a watch extended next to him."
وهوا يدور لقا عملاق من موراه مخنزر كيشوف فالورقة . زين الدين : اش كدير,"And he turned around to find a giant behind him, glaring at the paper.  
Zinedine: What are you doing?"
هادي هنا حط الولد يدو على صدرو باعتذار وقال : سمح ليا خويا حساب ليا,"The boy placed his hand on his chest apologetically and said: ""Forgive me, brother, I thought..."""
بوحدها .. ما ... مزال مكمل الولد هضرتو طرشو زين الدين للحنك ودفع عليه الكرسي,"Alone... not... the boy hasn't finished his speech, Zinedine bit his cheek and pushed the chair away from him."
برجلو ولاح عليه الورقة زين الدين بعصبية : حتى نكون انا عندي لكرون عاد اجي,"Zinedine angrily threw the paper at him: ""Wait until I have time, then come."""
قول ليا محساب لياش ناضو الرجال كيفكو والدري بغا يدابز .. وقفت حتا انا فاش,"Tell me, why did the men stand up like you, and the boy wanted to fight... I also stood up, so what?"
سمعت الولد كيعاير وانا ندور فيه صوفيا : قلت الاداب والاحترام .. مابقيناش عارفين فين,"I heard the boy insulting, and I turned to him, Sofia: I said, manners and respect... we no longer know where they are."
نجلسو واش فين ما جلسنا تنوضونا ! حتى القهاوي تبسبو فيهم ؟ طلع مول القهوى,"We sit, and wherever we sit, you make us get up! Even the cafés, you criticize them? The café owner got angry."
