Darija (Arabic),English
[ نهيلة : نضال خاص نقلبو على واليديها البنت غادي تموت نضال : وصيت رجالي,"[Nihila: Nidal, we need to look for the girl's parents; she's going to die.  
Nidal: I instructed my men.]"
باش يقلبو عليهم ( عنقها ) صافي غير تهدني نهيلة : بقات فيا البنت بزااف,"To search for them (her neck) just calm down, Nahila: I felt really sorry for the girl."
باقة صغيرة نضال : انشاء الله غيلقاو ليها متبرع وغتعيش نهيلة : ياربي الكارد :,"A small bouquet  
Nidal: God willing, they will find a donor for her, and she will live.  
Nahila: Oh Lord.  
The card:"
موسيو نضال : ( دار لو براسو شنو ) الكارد : مشينا البلاصة لي كنتو,"Mr. Nidal: (He nodded his head, ""What?"")  
The guard: ""We went to the place you were."""
فيها وسولنا الناس على البنت قالو لينا بلي البنت معندهاش واليدها و غير كتبيع الورود,"We asked people about the girl, and they told us that she has no parents and only sells flowers."
تما نضال : صافي سيير نهيلة : نضال دبا شنو غنديرو البنت معندهاش واليديها ،كون,"Nidal: Enough, go.  
Nahila: Nidal, what are we going to do now? The girl doesn’t have her parents."
مكنتش حاملة كون تبرعت ليها انا ( درات عندو ) نضال واخا دير تحاليل تشوف,"""I couldn't stand it, if I had donated to her (she turned to him) Nidal, even if you do tests to check."""
واش تقدر تبرع ليها عتابرها بحال بنتك نضال : ( شد ليها وجها ) اصلا,"Can you help her, consider her like your daughter, Nidal: (support her)?"
كنت غنديرها قبل متقوليها ليا نهيلة : ( باستو ) عارفة حبيبي انا حنين ،يالاه,"I was going to do it before you told me, Nahila: (Basto) I know, my love, I’m kind. Come on."
سير عند طبيب ) عند سلمى : سلمى؛معرفت مالو هدا سارة : انه الحب يا,"Go to the doctor.  
Salma: Salma, I don’t know what’s wrong with him.  
Sara: It’s love."
سادة برائة : لاواه الخرى سارة : اه سمحولي غنجاوب على المكالمة ونرجع برائة :,"Sada: Innocence  
La Wah: No, the other one  
Sara: Yes, excuse me, I’ll answer the call and come back  
Bara’a:"
( صغرات عينيها ) سيري سارة : اك ( خرجات الجردة ) برائة : ملاحضتيش,"(She squinted her eyes)  
Go, Sara:  
(A secret was revealed)  
Innocence: Didn't you notice?"
بلي سارة ولات كدوي في تيليفون بزاف سلمى : عادي برائة : ( وقفات ),"Salma: Normal  
Bra'a: (Paused)"
تبعيني سلمى : فيين برائة : وتبعيني وسكتي ( خرجو الجردة لقاو سارة كدوي بشوية,"Follow me, Salma: Where is Braa? Follow me and stay quiet. (They went out to the garden and found Sara speaking softly.)"
) سارة : سمحلي حبيبي مجيتش اليوم : ماشي مشكيل حبيبتي سارة : موااح حبي,"Sarah: Sorry, my love, I didn't come today.  
Not a problem, my love.  
Sarah: Mwah, my love."
يالاه انا غنقطع كنبغييك ( قطعات ) برائة : ( كتصفق ) واااو رومانس سارة,"Alright, I'm hanging up. I love you. (Hangs up) Bara'a: (Clapping) Wow, romance, Sara."
: ش شنو كديرو هنااا سلمى : باي حبيبي كنبغييك برائة : هههه شكون هادا,"- What are you doing here?  
- Bye, my love, I love you.  
- Haha, who is this?"
دوي وليتي تخبي علينا سلمى : شنو سمينو وشنو كدير كولشي قوليه لينا ولا عرفتي,"Talk, Salma, are you hiding something from us? What's his name and what does he do? Tell us everything if you know."
شنو ( خطفات ليها تيليفون ) نشوف راسي ( دخلات لكونطاك ) اوووه كاتبة عليه,What? (Her phone got snatched) I check myself (entered the contact) ohhh she wrote on it...
عمري؛عندي فضول نعرف شكون هادا ( دخلات واتسااب كتقلب على عمري باش تشوف تصويرة ),My love; I'm curious to know who this is (She opened WhatsApp searching for my love to see the picture).
نوووو ميمكنش سلمى : ماااجد هو حبيبك سارة : وي هانتي عرفتي اري تيليفون سلمى,"Nooo, it can't be.  
Salma: Majid is your boyfriend?  
Sara: Yes, you found out. Give me the phone, Salma."
: هاكي ( عطاتها طيل ) عاودي لينا كيفاش تلاقيتو سارة : راك عارفة بلي,"Here: (She gave her a long one) Tell us again how you met, Sarah: You know that..."
هو صديق ديال خويا سلمى : اه نسييت خوك عاارف سارة : لاااا سلمى :,"He is my brother's friend.  
Salma: Oh, I forgot. Does your brother know Sara?  
Sara: Nooo.  
Salma:"
خاصو يعرف سارة : غيعرف ولكن ماشي دباا سلمى : اك، عند نضال : (,He needs to know.
دخل عند طبيب دوى معاه، و دار تحاليل ونتائج مغيخرجو حتى لغدا ) نهيلة :,"He went to the doctor, talked with him, did tests, and the results won’t come out until tomorrow."
واش تقدرو ندخلو نشوفوها طبيبة : وي راه فاقت نهيلة : اك ( دخلو بجوج,"Can we go in to see her, doctor? Yes, Nahila is awake. Okay (both of you go in)."
لعندها كانت بنوتة زوينة بزااف شعرها بني عينيها عسليين بشرتها بيضة فمها غووز ) بنت,She was a very beautiful girl.
: Neo nugu ni ( شكون انتما ) نهيلة : ( نهيلة كتعرف شوية لكورية,"Neo nugu ni (Who are you?)  
Nahila: (Nahila knows a little Korean)"
حيث عزيز عليها الافلام الكورية ) Nae ileum _eun Nouhaila ( انا سميتي نهيلة ),My name is Nouhaila.
